id,project,branch,topic,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fproject-config~master~I87b0ef8c490cc8508094d4313ac0f239f599efda,openstack/project-config,master,rm_ds_cells,I87b0ef8c490cc8508094d4313ac0f239f599efda,remove devstack-cells job from master,MERGED,2015-08-26 13:07:24.000000000,2015-08-27 02:53:34.000000000,2015-08-27 02:53:33.000000000,5,0,0,217128,e25712b96ce705fda3715df4a324627920f59ccf,8,4,1,1,2750,Sean Dague,sdague,"remove devstack-cells job from master

We now have a real test job with gate-tempest-dsvm-cells that tests
much more than the 1 guest start of the old devstack exercises job. We
should stop running the old job on branches that the new job works on.

Change-Id: I87b0ef8c490cc8508094d4313ac0f239f599efda
"
openstack%2Fproject-config~master~I27e955048c74819dec7eb3dacb2b699f00ce6452,openstack/project-config,master,,I27e955048c74819dec7eb3dacb2b699f00ce6452,Add check-requirements job for senlin-dashboard,MERGED,2015-08-25 07:51:35.000000000,2015-08-27 02:51:12.000000000,2015-08-27 02:51:10.000000000,1,0,0,216590,78afd3927fab85bb21fd07a17e029989504040be,8,7,1,1,6610,Zhenguo Niu,niu-zglinux,"Add check-requirements job for senlin-dashboard

Change-Id: I27e955048c74819dec7eb3dacb2b699f00ce6452
"
openstack%2Fsenlin~master~I612413ce36c59ff33a15b2d24aaf1c07c47447a1,openstack/senlin,master,bp/reimplement-senlin-drivers-as-plugin,I612413ce36c59ff33a15b2d24aaf1c07c47447a1,Use senlin generic driver to manege keystone driver,MERGED,2015-08-26 09:07:29.000000000,2015-08-27 02:49:49.000000000,2015-08-26 10:14:39.000000000,68,65,0,217045,b541a8c34ae6634d1d9cc8c2347ca6da5548503a,15,3,3,12,11034,Yanyan Hu,yanyanhu,"Use senlin generic driver to manege keystone driver

Several jobs were done in this patch:
1. Enable keystone driver plugin;
2. Minor revise the implementation of driver plugin to enable the
   invoking of classmethod;
3. Invoke context.get_service_context rather than get_serice_credential
   defined in driver layer to get service user credential;

Change-Id: I612413ce36c59ff33a15b2d24aaf1c07c47447a1
Partially implement: blueprint reimplement-senlin-drivers-as-plugin
"
openstack%2Faodh~master~I2e60ed0af6e1b18bbb65e17007e3b2e14ff44b04,openstack/aodh,master,cd/devstack-config-dir,I2e60ed0af6e1b18bbb65e17007e3b2e14ff44b04,Create conf directory during devstack install phase,MERGED,2015-08-26 10:40:43.000000000,2015-08-27 02:32:24.000000000,2015-08-27 02:32:22.000000000,1,2,1,217082,ac522a9df4b0fcb152a5e7295b31ee9b58ad0d25,10,4,2,1,11564,Chris Dent,chdent,"Create conf directory during devstack install phase

Otherwise other plugins which depend on aodh and want to set
configuration items may have issues with the configuration directory not
being there.

Change-Id: I2e60ed0af6e1b18bbb65e17007e3b2e14ff44b04
"
openstack%2Foctavia~master~I581448920a536a07973bc8f4c4c80218ceaf342a,openstack/octavia,master,openstack/requirements,I581448920a536a07973bc8f4c4c80218ceaf342a,Updated from global requirements,MERGED,2015-08-25 07:38:47.000000000,2015-08-27 02:30:08.000000000,2015-08-27 02:23:14.000000000,3,3,0,216581,71d9e9b87f4e020b6c0bc56cbcd49eaed3639e00,22,5,3,1,11131,OpenStack Proposal Bot,proposal-bot,"Updated from global requirements

Change-Id: I581448920a536a07973bc8f4c4c80218ceaf342a
"
openstack%2Faodh~master~I11b416e88fbf9f9e22829f30257a3733091d9af3,openstack/aodh,master,event-alarm-bugs,I11b416e88fbf9f9e22829f30257a3733091d9af3,Fix args for get_notification_listener(),MERGED,2015-08-26 03:40:52.000000000,2015-08-27 02:25:42.000000000,2015-08-27 02:25:41.000000000,11,4,2,216945,358b9312ed333e9a33e909a9ce6d030b991fae7b,17,5,4,2,1894,Ryota MIBU,r-mibu,"Fix args for get_notification_listener()

Change-Id: I11b416e88fbf9f9e22829f30257a3733091d9af3
"
openstack%2Fmonasca-agent~master~Iccef297b507081c58037393b2557a65a1d950982,openstack/monasca-agent,master,bug/1488368,Iccef297b507081c58037393b2557a65a1d950982,FIX the log message for VMs in the probation period,MERGED,2015-08-25 07:49:48.000000000,2015-08-27 02:09:08.000000000,2015-08-27 02:09:06.000000000,1,1,0,216588,960eee970b8ac912f27da02a7812a43c71594304,8,3,1,1,17331,Koji Nakazono,Koji_Nakazono,"FIX the log message for VMs in the probation period

An error occurred when outputting the log message for VMs in the probation period
if the name of VM contains multibyte characters.
The name of VM became to be encoded correctly.

Change-Id: Iccef297b507081c58037393b2557a65a1d950982
Closes-Bug: #1488368
"
openstack%2Fironic~master~Idf7edc16abfad272cd4b35c813690d624320bdd4,openstack/ironic,master,bug/1413618,Idf7edc16abfad272cd4b35c813690d624320bdd4,Improve logging for _send_sensor_data failure,ABANDONED,2015-01-22 15:27:47.000000000,2015-08-27 02:04:41.000000000,,8,0,4,149313,3e913014af73f13bddb349792d63842ed9326475,12,5,1,1,12605,Sergey Lupersolsky,slupers,"Improve logging for _send_sensor_data failure

When a node's driver doesn't have management defined, it can't get
sensor data and causes an AttributeError which results in a generic
log message that doesn't describe the actual issue.

Add a check to see if the node's driver has management defined. If not,
log a descriptive warning and skip trying to get and send sensor data
for that node.

Change-Id: Idf7edc16abfad272cd4b35c813690d624320bdd4
Closes-Bug: 1413618
"
openstack%2Fmonasca-api~master~Ib9c04905d2d6a06415830b48f8b83fde7ad9e33f,openstack/monasca-api,master,bug/1488908,Ib9c04905d2d6a06415830b48f8b83fde7ad9e33f,Fix case insensitive role authorization comparison,MERGED,2015-08-26 10:41:12.000000000,2015-08-27 02:01:42.000000000,2015-08-27 02:01:41.000000000,51,1,0,217084,3e567ce4c685eaa9b6b5493135912e36e3f8764f,8,5,1,2,15799,Ben Motz,bmotz,"Fix case insensitive role authorization comparison

The list of authorized roles from the config file was not being
lower-cased, while the list of roles from the X-Roles header was.

Closes-Bug: 1488908
Change-Id: Ib9c04905d2d6a06415830b48f8b83fde7ad9e33f
"
openstack%2Fironic~master~I6572dacac643f4009e1c54cfe14d3c6e29c1cea4,openstack/ironic,master,Fix_misspelling_in_ironic_guides,I6572dacac643f4009e1c54cfe14d3c6e29c1cea4,Fixing misspelling in ironic guides,ABANDONED,2015-01-15 18:50:52.000000000,2015-08-27 02:00:33.000000000,,2,2,0,147624,64796c85ba7c690a0517e183f7fcf86c911c454c,11,6,1,2,9218,Pengfei Zhang,eaglezpf,"Fixing misspelling in ironic guides

Change-Id: I6572dacac643f4009e1c54cfe14d3c6e29c1cea4
"
