id,project,branch,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,topic,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fdevstack~master~I0c80bb79c2bd1b5098f6dda0803798fed9d13463,openstack/devstack,master,I0c80bb79c2bd1b5098f6dda0803798fed9d13463,Neutron: Add rejoin_neutron function,ABANDONED,2015-12-02 15:32:16.000000000,2016-03-29 02:14:53.000000000,,19,0,0,252457,75c053c13d26d44ffd43b71837f33921bb650fe3,bug/1521790,42,8,4,2,9970,John Kasperski,jckasper,"Neutron: Add rejoin_neutron function

When using Neutron, L3 agent, and OpenVSwitch, the IP address is moved
from the physical interface, ethX, over to the OVS bridge, br-ex. This
is done by ./stack.sh during the neutron L3 configuration.  This
movement is required in order to maintain connectivity to this IP
address.

When the host machine is rebooted OR the network service is restarted,
the IP address is associated with the physical interface, ethX, once
again and the IP address is no longer reachable.

Update rejoin-stack.sh to move the IP address (if necessary) using
the same logic that is invoked during stack.sh

Closes-Bug: #1521790
Change-Id: I0c80bb79c2bd1b5098f6dda0803798fed9d13463
"
openstack%2Ffuxi~master~Ia336a605554e2e3bd228f8f566ef748428e5598b,openstack/fuxi,master,Ia336a605554e2e3bd228f8f566ef748428e5598b,Initial code for Fuxi,MERGED,2016-03-14 08:13:14.000000000,2016-03-29 02:12:39.000000000,2016-03-29 02:12:39.000000000,596,0,0,292247,e300a09ca8d7a6f80cdfc8d50f9e8bf22b8fdd5c,,12,2,3,33,11538,Zhang Ni,zhangni,"Initial code for Fuxi

Submit initial code base generated by cookiecutter

Change-Id: Ia336a605554e2e3bd228f8f566ef748428e5598b
"
openstack%2Fswift~master~Ie1af9dfa3c4efeccd2e11b9f600ea95a3d5bc249,openstack/swift,master,Ie1af9dfa3c4efeccd2e11b9f600ea95a3d5bc249,Don't merge: Replace duplicated code by iotop lib,ABANDONED,2016-03-18 07:43:41.000000000,2016-03-29 02:06:56.000000000,,39,63,0,294432,78350505042be8736cefccf2b8764b4b198ce39d,nice2,13,3,4,2,4608,Kota Tsuyuzaki,tsuyuzaki-kota,"Don't merge: Replace duplicated code by iotop lib

This is for making sure the possiblity if we can replace the code
looks like duplicated with GPL liscenced kernel code.

This is only to try to replace iotop related but not yet for nice.
So still WIP and don't merge right now.

Change-Id: Ie1af9dfa3c4efeccd2e11b9f600ea95a3d5bc249
"
openstack%2Fneutron~master~I0501d47404c8adbec4bccb84ac5980e045da68b3,openstack/neutron,master,I0501d47404c8adbec4bccb84ac5980e045da68b3,Make DHCP agent scheduler physical_network aware,MERGED,2015-07-24 17:30:37.000000000,2016-03-29 01:53:47.000000000,2016-03-29 01:53:46.000000000,285,27,121,205631,0267c6a5acdcb68ea7e83ecb980362c4235ed1d7,bug/1478100,535,49,33,16,8873,Assaf Muller,amuller,"Make DHCP agent scheduler physical_network aware

Currently neutron DCHP scheduler assumes that that every server running
a dhcp-agent can reach every network. Typically the scheduler can
wrongly schedule a vlan network on a dhcp-agent that has no reachability
to the network it's supposed to serve (ex: network's physical_network
not supported).

Typically such usecase can append if:

* physical_networks are dedicated to a specific service and we don't
  want to mix dnsmasqs related to different services (for
  isolation/configuration purpose),
* physical_networks are dedicated to a specific rack (see example
  diagram http://i.imgur.com/NTBxRxk.png), the rack interconnection can
  be handled outside of neutron or inside when routed-networks will be
  supported.

This change makes the DHCP scheduler network reachability aware by
querying plugin's filter_hosts_with_network_access method.

This change provides an implementation for ML2 plugin delegating host
filtering to its mechanism drivers: it aggregates the filtering done by
each mechanism or disables filtering if any mechanism doesn't overload
default mechanism implementation[1] (for backward compatibility with
out-of-tree mechanisms). Every in-tree mechanism overloads the default
implementation: OVS/LB/SRIOV mechanisms use their agent mapping to filter
hosts, l2pop/test/logger ones return empty set (they provide to ""L2
capability"").

This change provides a default implementation[2] for other plugins
filtering nothing (for backward compatibility), they can overload it to
provide their own implementation.

Such host filtering has some limitations if a dhcp-agent is on a host
handled by multiple l2 mechanisms with one mechanism claiming network
reachability but not the one handling dhcp-agent ports. Indeed the
host is able to reach the network but not dhcp-agent ports! Such
limitation will be handled in a follow-up change using host+vif_type
filtering.

[1] neutron.plugin.ml2.driver_api.MechanismDriver.\
      filter_hosts_with_network_access
[2] neutron.db.agents_db.AgentDbMixin.filter_hosts_with_network_access

Closes-Bug: #1478100
Co-Authored-By: Cedric Brandily <zzelle@gmail.com>
Change-Id: I0501d47404c8adbec4bccb84ac5980e045da68b3
"
openstack%2Fpython-heatclient~master~Icf5794ad6bb35574a060f095d7ef10e6a46ca2fe,openstack/python-heatclient,master,Icf5794ad6bb35574a060f095d7ef10e6a46ca2fe,OSC plugin for orchestration template validate,MERGED,2016-03-04 20:38:16.000000000,2016-03-29 01:37:11.000000000,2016-03-29 01:37:11.000000000,178,32,26,288725,1d4c407fc53ed2b57377095f0f5d99079afcf51f,bp/heat-support-python-openstackclient,56,10,8,7,7128,Mark Vanderwiel,kramvan,"OSC plugin for orchestration template validate

This change implements ""openstack orchestration template validate"" command
Based from the existing heat commands:
   heat template-validate

This is different from the stack create/update --dry-run
which used the preview api, this uses the validate api.

Change-Id: Icf5794ad6bb35574a060f095d7ef10e6a46ca2fe
Blueprint: heat-support-python-openstackclient
"
openstack%2Fironic~master~I45baa502dea41d43e48c4268f5f5b47f69407dfe,openstack/ironic,master,I45baa502dea41d43e48c4268f5f5b47f69407dfe,Wait longer for AMT firmware from deep sleep,ABANDONED,2016-01-06 10:16:12.000000000,2016-03-29 01:35:54.000000000,,53,35,15,264106,62e20363d4321c7d6499c27835b993126dac1b1b,amt_bug,23,8,5,4,13362,Tan Lin,zero,"Wait longer for AMT firmware from deep sleep

Reuse options [amt]max_attempts and [amt]action_wait to
control the wait time to wake up AMT firmware.
This will try to wake up AMT firmware three times and wait 10s
before next wake up call by default.

Closes-Bug: #1504023
Change-Id: I45baa502dea41d43e48c4268f5f5b47f69407dfe
"
openstack%2Fmagnum~master~Ie355d30e34a6fca085cc8c69cf92c3f781e110e3,openstack/magnum,master,Ie355d30e34a6fca085cc8c69cf92c3f781e110e3,Functional: use pined magnum client,ABANDONED,2016-03-04 10:17:55.000000000,2016-03-29 01:33:15.000000000,,4,3,0,288354,f6f50bc602831b86aaabb3e4f0be652ac04a4564,bug/1553108,16,5,1,3,12175,Eli Qiao,Eli,"Functional: use pined magnum client

On Magnum gate, some other project will depend on magnum client (like heat),
so always use latesed code of magnum cient may break them.

Depends-on: I1376c2c379adbf12d150d735d115292011baf3ef
Change-Id: Ie355d30e34a6fca085cc8c69cf92c3f781e110e3
Closes-bug: #1553108
"
openstack%2Fsenlin~master~I008251ef6ffc50677bc62cdbbe00483f5ff88b14,openstack/senlin,master,I008251ef6ffc50677bc62cdbbe00483f5ff88b14,Remove NodeNotOrphan exception type,ABANDONED,2016-01-27 12:23:40.000000000,2016-03-29 01:27:19.000000000,,7,10,0,273016,9bbb79c6f9903a5c5d7a5c1e34e012a222e4a313,rm-node-orphan-ex,5,2,1,4,8246,Qiming Teng,tengqm,"Remove NodeNotOrphan exception type

The NodeNotOrphan exception is not interesting at all. It is basically
one type of bad request. This patch proposes a removal of it.

Change-Id: I008251ef6ffc50677bc62cdbbe00483f5ff88b14
"
openstack%2Fsenlin~master~I8a59b3ab94dab664da29f85a5b7d2c7043ffeab6,openstack/senlin,master,I8a59b3ab94dab664da29f85a5b7d2c7043ffeab6,Refactor API version range support,MERGED,2016-03-28 07:08:33.000000000,2016-03-29 01:25:35.000000000,2016-03-29 01:25:35.000000000,100,85,0,298129,b40ec20f120012bbe823fbde9fa1a3d6f621f763,bp/api-microversioning,9,3,2,6,8246,Qiming Teng,tengqm,"Refactor API version range support

This patch refactors the API version check so that the min/max versions
are defined only for OpenStack APIs. Previously, these definitions are
placed in a global scope which is incorrect.

partial-bp: api-microversioning
Change-Id: I8a59b3ab94dab664da29f85a5b7d2c7043ffeab6
"
openstack%2Fmanila~master~I4f315f4454296231c79429b3ab326318bd5005fa,openstack/manila,master,I4f315f4454296231c79429b3ab326318bd5005fa,Add additional documentation on extra spec operations.,MERGED,2016-02-18 21:14:24.000000000,2016-03-29 01:16:58.000000000,2016-03-02 23:18:46.000000000,39,2,7,282063,bd88709204dc61f1e0c75e0e077e6b144162bd29,bug/1538243,45,13,3,1,19678,Andrei Ta,ata,"Add additional documentation on extra spec operations.

Change-Id: I4f315f4454296231c79429b3ab326318bd5005fa
Closes-Bug: #1538243
"
